CUSTOMER_ID,POSTING_MONTH,CUSTOMER_CLAIMS,INCIDENT_COUNT,INCIDENT_RESOLVED_IN_TIME,IN_TIME_PAYMENT,INVOICE_ON_TIME,EU_VAT_ISSUE,GEOGRAPHY,ACTIVE_FLAG,CUSTOMER_SATISFACTION,CUSTOMER_RETAINED
CUST04051,01-01-2023,50,7,No,No,Yes,No,APAC,Yes,1.7,No
CUST04006,01-04-2024,100,5,Yes,Yes,Yes,No,Oceania,Yes,3.2,Yes
CUST03360,01-05-2024,50,8,Yes,Yes,Yes,No,South America,Yes,4.7,Yes
CUST02952,01-01-2023,250,9,Yes,Yes,Yes,No,North America,Yes,3.1,No
CUST00730,01-01-2024,5,5,Yes,No,Yes,Yes,EU,Yes,2.8,Yes
CUST04500,01-06-2024,25,4,Yes,Yes,Yes,No,APAC,Yes,4.7,Yes
CUST02556,01-05-2023,100,9,Yes,Yes,Yes,No,APAC,Yes,3.7,Yes
CUST01151,01-08-2024,250,1,Yes,Yes,Yes,No,South America,Yes,3.7,Yes
CUST01736,01-03-2023,10,9,Yes,Yes,Yes,No,MEA,Yes,2.6,No
CUST01039,01-09-2024,500,7,Yes,Yes,Yes,No,South America,Yes,2.7,No
CUST02913,01-12-2024,1000,10,Yes,Yes,Yes,No,North America,Yes,3.4,No
CUST04841,01-12-2024,25,0,Yes,No,Yes,No,North America,No,1.9,No
CUST02541,01-10-2023,1000,0,Yes,Yes,Yes,No,South America,Yes,4.3,Yes
CUST04415,01-10-2024,1000,1,Yes,Yes,Yes,No,APAC,Yes,4.2,Yes
CUST01243,01-07-2024,50,9,Yes,Yes,Yes,No,EU,Yes,4,Yes
CUST00773,01-09-2024,100,9,No,Yes,Yes,No,APAC,Yes,2.4,Yes
CUST01917,01-02-2024,1000,12,Yes,Yes,Yes,No,MEA,Yes,4.2,Yes
CUST03413,01-03-2023,250,10,Yes,Yes,Yes,No,MEA,Yes,2.8,No
CUST02500,01-11-2023,1000,0,Yes,Yes,Yes,No,APAC,Yes,4.7,Yes
CUST03441,01-10-2024,500,3,Yes,Yes,Yes,No,Oceania,No,3.3,Yes
CUST03546,01-05-2024,50,10,Yes,Yes,Yes,No,North America,Yes,3.7,Yes
CUST01214,01-06-2023,250,10,Yes,Yes,Yes,No,South America,Yes,4.2,Yes
CUST02932,01-11-2024,100,4,Yes,Yes,Yes,No,South America,Yes,3.9,Yes
CUST00419,01-11-2024,250,10,Yes,Yes,Yes,No,South America,Yes,1,No
CUST03782,01-11-2024,50,0,Yes,Yes,Yes,No,South America,Yes,2,Yes
CUST04961,01-11-2024,5,0,No,Yes,Yes,No,MEA,Yes,2.9,Yes
CUST00789,01-04-2023,250,5,Yes,Yes,Yes,No,APAC,Yes,4,Yes
CUST01872,01-11-2024,1000,10,Yes,Yes,Yes,No,North America,Yes,5,Yes
CUST04591,01-04-2023,500,8,Yes,Yes,Yes,No,APAC,Yes,3.3,No
CUST02026,01-12-2023,25,0,Yes,Yes,Yes,No,North America,No,4.3,Yes
CUST02447,01-02-2023,250,1,Yes,Yes,Yes,No,South America,Yes,4.2,Yes
CUST04824,01-05-2024,5,6,No,Yes,Yes,No,Oceania,Yes,2.4,No
CUST00561,01-06-2024,500,3,Yes,Yes,Yes,No,North America,Yes,3.6,Yes
CUST02652,01-06-2024,10,9,Yes,No,Yes,No,South America,Yes,3.1,Yes
CUST03905,01-01-2024,50,3,Yes,No,Yes,No,Oceania,Yes,2.8,Yes
CUST00540,01-11-2023,250,3,Yes,Yes,Yes,No,MEA,Yes,5,Yes
CUST04756,01-09-2023,100,2,Yes,Yes,Yes,No,MEA,Yes,3.9,Yes
CUST03137,01-09-2023,100,8,Yes,No,Yes,No,South America,Yes,2.8,Yes
CUST03290,01-01-2024,500,7,Yes,Yes,Yes,No,APAC,No,3.1,No
CUST02611,01-10-2023,100,8,Yes,Yes,Yes,No,APAC,Yes,3.7,Yes
CUST04913,01-09-2023,250,9,Yes,Yes,Yes,No,MEA,Yes,3.9,Yes
CUST01945,01-02-2023,5,0,Yes,Yes,Yes,No,Oceania,Yes,1.8,Yes
CUST03146,01-01-2024,100,1,Yes,Yes,Yes,No,EU,Yes,4.8,Yes
